[0603/150358.560:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aafaommkbfcekikjalmjhimibmoppdpg/favicon.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.560:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aafaommkbfcekikjalmjhimibmoppdpg/favicon.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.588:INFO:CONSOLE:2] "%c ", source: https://client.protechts.net/PXdOjV695v/main.min.js (2)
[0603/150358.601:INFO:CONSOLE:2] "%c ", source: https://client.protechts.net/PXdOjV695v/main.min.js (2)
[0603/150358.661:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aagiojdphcbpafnpcniokdjcpfdphjgk/command-palette.html' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.661:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aagiojdphcbpafnpcniokdjcpfdphjgk/command-palette.html. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.762:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aahogoflghpjkacghggcdcolicipmfpi/popup.html' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.762:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aahogoflghpjkacghggcdcolicipmfpi/popup.html. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.883:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaibendpbhlnjijpkcclimejomaeenlk/icons/icon-16.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.884:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaibendpbhlnjijpkcclimejomaeenlk/icons/icon-16.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
